topic,topic_description,reply_count,author_id,author_name,post_time,last_reply_by,last_reply_time
['陆行鸟区'],鸟区吧哈p4招募赤魔7=1,3,42936693,ryemis,20-11-11 13:27,ryemis,20-11-11 14:13
['莫古力区'],有没有压14冲的队伍缺白魔的,3,42810704,oo阡陌,20-11-06 08:45,oo阡陌,20-11-11 14:11
['日区'], 5.4零式再生篇首周招募：双T D1 远敏,4,39357309,智灵巧小开水,20-11-09 12:08,智灵巧小开水,20-11-11 14:08
"['猫小胖区', '绝亚']", ,0,42746672,井可怜,20-11-11 14:07,井可怜,20-11-11 14:07
['猫小胖区'],零式开荒队招募求一DPS,2,60127164,粑大仙,20-11-11 13:38,空与猫,20-11-11 14:06
"['陆行鸟区', '绝巴哈从零开荒', '招MT，非忍诗Dps，法系优先赤魔']",零式开荒队招募求一DPS,1,42201224,葳蕤,20-11-11 03:08,葳蕤,20-11-11 13:51
['猫小胖区'],绝亚d4召唤求职 进度2运初见,13,60820657,i2435448496,20-11-08 08:33,i2435448496,20-11-11 13:51
['莫古力区'], 招募一个过气极神零式队的队长,3,62049476,影离光,20-11-10 01:29,影离光,20-11-11 13:48
['猫小胖区'],已满,19,60303093,lot45,20-10-26 08:44,lot45,20-11-11 13:36
['莫古力区'], 绝亚阴间复健队 7=1 来个H1,16,37783447,aradoxDogs,20-11-07 16:21,aradoxDogs,20-11-11 13:24
['陆行鸟区'],5.2零式清cd休闲队找一个d,2,61709846,hornJune,20-11-11 11:35,hornJune,20-11-11 13:15
['陆行鸟区'], 零式共鸣开荒，招DPS H2,5,7120669,13002949,20-11-07 13:53,13002949,20-11-11 13:15
"['猫小胖区', '猫小胖区']",猫区零式开荒队招募,13,60952207,2345678asdasd,20-11-05 03:00,2345678asdasd,20-11-11 13:10
"['陆行鸟区', '绝神兵']", ,0,62549236,是神月下,20-11-11 13:10,是神月下,20-11-11 13:10
['猫小胖区'], 人齐了,0,33652857,a891224,20-11-11 13:09,a891224,20-11-11 13:09
['猫小胖区'],e5s开荒新人周末团固定队招st,0,24707659,547470960,20-11-11 12:48,547470960,20-11-11 12:48
['猫小胖区'], 绝亚低保队7=1 ST 刷五个左右,6,60702226,shdollRest,20-11-09 21:14,glaura,20-11-11 12:46
"['日区', 'Mana']",再生篇休闲效率队5=3 目标2~3周过本,117,41138645,arkRel,20-10-12 23:47,arkRel,20-11-11 12:45
['莫古力区'],绝巴哈从零开荒7=1奶,2,61050872,alchemist,20-11-09 12:34,alchemist,20-11-11 12:37
"['陆行鸟区', '日区']",mana零式绝本长期固定队招募一奶妈,1,60144848,uka233,20-11-11 01:40,uka233,20-11-11 12:37
['猫小胖区'],巴哈+N5=3,0,62039923,什么没博,20-11-11 12:35,什么没博,20-11-11 12:35
"['莫古力区', '绝亚招募']",绝亚下午队P2初见进度目前7=1ST。,37,39873246,希声,20-10-31 19:32,希声,20-11-11 12:35
['莫古力区'],绝亚 p2排队进度 7=1 st 能稳过麻将就行,26,41508625,洲老中医,20-10-16 19:58,洲老中医,20-11-11 12:32
['日区'], mana大区骑士绑定诗人寻9-12次周队,1,60262799,orescatter,20-11-11 01:33,orescatter,20-11-11 12:31
['莫古力区'],零进度h2占星求职绝神兵,3,61916120,月渐隐,20-11-10 01:09,月渐隐,20-11-11 12:23
['猫小胖区'],双绝H2求职神兵 进度渡劫,1,60175250,yasoyas,20-11-11 03:43,yasoyas,20-11-11 12:16
['陆行鸟区'],绝亚低保复健+1=1MT 麻将1211,11,37644386,绫纱,20-11-09 09:49,绫纱,20-11-11 12:09
['莫古力区'], 神兵三连桶进度招一法系D4,2,60673418,ekko,20-11-11 00:20,ekko,20-11-11 12:07
['陆行鸟区'], 零式共鸣篇5-8CD队 6=2,3,42951415,AO_5per,20-11-10 10:47,AO_5per,20-11-11 12:06
"['陆行鸟区', '绝神兵', '陆行鸟区']", ,6,43354450,台少年,20-10-26 12:14,台少年,20-11-11 11:52
['陆行鸟区'], 绝神兵二运2=6,9,42761007,水呆毛,20-11-05 11:17,蓝之主,20-11-11 11:51
['陆行鸟区'], 巴哈天地进度舞者求职工作日晚间队,1,60322784,机random,20-11-10 16:25,机random,20-11-11 11:50
['陆行鸟区'],绝亚复健低保队寻st,3,41586319,六123456,20-11-08 20:41,eliscar,20-11-11 11:47
['莫古力区'], 双人打包出售：D4召唤+H2占星 求职5-8S CD队,5,62302904,g760720744,20-11-09 11:02,g760720744,20-11-11 11:44
"['莫古力区', '莫古力区']",零式伊甸E5S-E8S.从零开始开荒,0,62197762,麒,20-11-11 11:36,麒,20-11-11 11:36
"['陆行鸟区', '陆行鸟区']", ,2,60338875,名苦手只想划,20-11-06 22:38,eliscar,20-11-11 11:34
['猫小胖区'],绝A低保,1,60731097,涉川,20-11-07 23:14,涉川,20-11-11 11:32
['猫小胖区'],绝亚武士求一个加1队,5,41575171,v胸真大,20-10-21 02:33,v胸真大,20-11-11 11:26
"['陆行鸟区', '北美时差']", ,0,43050642,伦尔榭,20-11-11 11:24,伦尔榭,20-11-11 11:24
['陆行鸟区'], 鸟区绝神兵固定队招募7=1招募D2,1,60773294,oranLemon,20-11-10 16:31,oranLemon,20-11-11 11:21
['猫小胖区'],jio巴哈p3灾厄开荒7=1招募MT,8,42566700,夕酱童鞋,20-11-06 23:25,夕酱童鞋,20-11-11 11:20
"['猫小胖区', '已招全']",组一个休闲的零式相声小队(e5s～e8s),18,62336723,志助,20-11-10 17:26,暗,20-11-11 11:20
['陆行鸟区'],青魔魔界花4=4,2,42643474,部布嘟嘟,20-11-10 11:58,部布嘟嘟,20-11-11 11:17
"['日区', '日区', 'MANA', '莫古力区']", ,6,60111453,akurabbit,20-11-08 15:15,akurabbit,20-11-11 11:17
['猫小胖区'], 神兵从零7=1 st,1,62512963,kayama,20-10-28 16:16,kayama,20-11-11 11:16
"['猫小胖区', '零式']", ,25,62452618,amamama,20-11-07 19:10,暗,20-11-11 11:16
['猫小胖区'], 22.30~01:00绝巴哈p2小龙俯冲练习1=7(也有可能是3=5)接受有条件零进度,14,61251023,chira1969,20-11-07 02:20,chira1969,20-11-11 11:16
['陆行鸟区'], 找到了，不找了,3,60351306,留花下人,20-11-10 19:31,留花下人,20-11-11 11:11
['猫小胖区'], 神兵从零7=1st,2,62512963,kayama,20-11-10 10:07,kayama,20-11-11 11:08
['猫小胖区'], 猫区绝亚从零晚间队6=2，每晚9-11活动，招h2和召唤,1,60313392,面馅包子,20-11-10 22:23,面馅包子,20-11-11 11:06
['猫小胖区'], 共鸣零式休闲清cd队招募H1\H2,2,42697095,字呢Answer,20-11-01 20:18,字呢Answer,20-11-11 11:04
['猫小胖区'], 绝亚P2晚间队6=2,1,43126173,riezu,20-11-10 15:14,riezu,20-11-11 11:04
['陆行鸟区'],(预招募)从o8s开始的神兵开荒队，预计20号开打,8,61673792,椒螺丝,20-11-07 11:54,椒螺丝,20-11-11 10:54
['猫小胖区'], 我又来了，绝神兵二运7=1H1,15,60444384,利亚,20-10-17 14:09,利亚,20-11-11 10:52
['陆行鸟区'],固定队招募，绝亚招募，绝A招募,14,42879626,roxi,20-10-25 01:12,roxi,20-11-11 10:52
"['陆行鸟区', '固定队招募']",零式招募D3,2,62648059,hickcase,20-11-11 08:43,hickcase,20-11-11 10:49
"['莫古力区', '猪区', '固定队招募']", ,6,61490657,朗朗,20-11-10 22:54,朗朗,20-11-11 10:42
"['陆行鸟区', '绝神兵']",机工,0,62191204,ollana,20-11-11 10:42,ollana,20-11-11 10:42
['莫古力区'],猪区龙骑寻一神兵低保队,0,60868680,坦克的贝塔FF,20-11-11 10:40,坦克的贝塔FF,20-11-11 10:40
"['陆行鸟区', '绝巴哈']", ,1,60841253,ugen嗷,20-11-10 13:31,说中的Ice,20-11-11 10:36
['陆行鸟区'], 绝亚从零开荒队招募H1和两位DPS,4,42610190,hemey,20-11-10 08:52,hemey,20-11-11 10:35
['陆行鸟区'], 巴哈st骑士求职p5队或低保队，稳定p4也可以,6,39130569,阶圣堂 杨永信,20-11-09 19:25,阶圣堂 杨永信,20-11-11 10:34
"['猫小胖区', '7=1']",复健绝亚,1,61404590,为一只蛋,20-11-10 09:18,为一只蛋,20-11-11 10:30
['陆行鸟区'], 长期队招募各职业,0,60035994,边的西瓜草,20-11-11 10:29,边的西瓜草,20-11-11 10:29
['莫古力区'],st寻一零式低保队，接受龙诗进度,0,60273786,游小咪,20-11-11 10:28,游小咪,20-11-11 10:28
['陆行鸟区'], 绝巴哈双T求职晚间低保+1队,1,41671584,神。,20-11-10 23:04,神。,20-11-11 10:15
['陆行鸟区'],绝亚 p3渡劫 召唤d4求职,18,42343307,山実生,20-11-04 15:35,山実生,20-11-11 10:14
['猫小胖区'], 绝神兵开荒进度三连桶7=1H1,7,60445706,oif234,20-11-06 01:09,桐智司女友,20-11-11 10:14
"['鸟区', '绝亚']",低保队7=1召唤,0,42864812,枫拾年。,20-11-11 10:11,枫拾年。,20-11-11 10:11
['猫小胖区'], 求职，诗人机工d3，从零神兵,0,9428714,942638542,20-11-11 10:10,942638542,20-11-11 10:10
"['日区', 'mana']",5.4零式再生篇次周队7=1近战位dps,8,61391142,月sama,20-11-02 16:26,月sama,20-11-11 09:48
['陆行鸟区'], 鸟区绝亚开荒队伍招人6=2 近d h1,11,33455720,enchengjun,20-11-07 20:14,enchengjun,20-11-11 09:44
['陆行鸟区'], 野队绝本加练群 欢迎任何进度任何绝本的人进 让你缺人方便找人 不在7=1,55,61852664,137792850,20-09-07 09:28,137792850,20-11-11 09:37
['日区'], MANA5.4零式   硬盒究极爆肝队招募 ！！！！7=1法系有爆肝想法而且过本欲望强烈的看看啦~~,51,60418769,aGra,20-11-03 15:19,aGra,20-11-11 09:36
['陆行鸟区'],绝亚4=4 从零 近战 双奶 st上午 时差,12,62499089,碗里的肉呢,20-10-27 09:53,碗里的肉呢,20-11-11 09:33
['莫古力区'], 求职绝亚P2队白魔,3,62515923,大大西瓜君,20-11-08 09:54,大大西瓜君,20-11-11 09:32
['日区'],mana大区5.4保次争首长期固定队招募7=1 d2位 近战或黑魔,20,42087390,866zwx,20-10-28 13:52,866zwx,20-11-11 09:16
['猫小胖区'],想找一个晚间天宫队。,0,61644682,unaleSca,20-11-11 09:08,unaleSca,20-11-11 09:08
['陆行鸟区'], 奶妈找一个白天巴哈或神兵开荒队。,0,43115090,ao儿不乖,20-11-11 09:03,ao儿不乖,20-11-11 09:03
['猫小胖区'], 猫区e8s晚间从零固定队      7=1dps！！！,9,43130823,ua233_,20-11-06 21:02,ANONYMOUS#,20-11-11 08:59
['猫小胖区'],猫区晚间巴哈队p3灾厄进度七等一个非侍d1或mt,1,41716339,倌,20-11-10 10:03,倌,20-11-11 08:54
['猫小胖区'], 绝巴哈晚间休闲队招募,7,41807229,眼病,20-11-07 01:39,zyyzbr,20-11-11 08:53
"['部队招募', '国际服', 'NA', 'Primal', 'Exodus']",《STARS》公会招募萌新和萌佬小伙伴备战5.0~进度团，肝佬，沙雕网友应有尽有~,210,60300237,ilybresona,19-05-01 23:07,烬繁馥。,20-11-11 08:42
['日区'],国际服mana区有三绝本低保队吗,1,60550287,是一条鱼啊,20-11-10 15:38,eracydia,20-11-11 08:42
['莫古力区'], 神兵开荒缺mt d2 d4,0,61807517,副总我奶奶,20-11-11 08:36,副总我奶奶,20-11-11 08:36
['猫小胖区'], 5-7清cd，8s开荒招募2非龙诗召d,4,42193357,isssolong,20-11-10 13:26,isssolong,20-11-11 08:08
['莫古力区'],三绝召唤求职巴哈低保队,0,61171243,licesdream,20-11-11 08:04,licesdream,20-11-11 08:04
['猫小胖区'],二团e5s开荒招1st,4,24707659,547470960,20-11-10 16:31,547470960,20-11-11 07:46
['陆行鸟'],绝亚咸鱼麻将队招h2，远敏，最好见过麻将,3,42959089,桃夹子魔女,20-11-05 19:07,桃夹子魔女,20-11-11 07:43
"['莫古力区', '部队招募', '旅人栈桥']",塔尔塔罗斯，后缀《铭心》部队招新,15,42546577,ancyFa,20-09-07 00:26,の鳥,20-11-11 07:34
"['美区', '国际服', 'Primal', '固定队招募', '5.4首周']",招募1 近战/远敏(时间好商量),2,60111522,imon0xzx,20-11-06 02:54,imon0xzx,20-11-11 06:35
"['美区', 'Aether']", ,3,60648987,omomomomo2,20-10-29 12:09,D998,20-11-11 05:38
['猫小胖区'], 绝亚从零下午队招募，4=4,10,4417721,乌鸦的诅咒,20-11-04 18:51,只油光水滑的,20-11-11 05:34
['莫古力区'], 绝亚 二运火龙卷=1 D4法系  差半步P4,1,42424644,谛,20-11-10 19:00,谛,20-11-11 05:33
['猫小胖区'],绝亚晚间队伍6=2治疗,3,62197434,reep123,20-11-09 15:21,reep123,20-11-11 05:20
"['美区', '固定队招募']", ,0,43016013,mmthal,20-11-11 04:36,mmthal,20-11-11 04:36
['陆行鸟区'],近战零式开荒求职 进度E6S开荒,8,39830741,IMMM_,20-11-09 10:16,IMMM_,20-11-11 04:35
['猫小胖区'], 绝亚从零开荒求职MT/ST,0,60703325,云桓,20-11-11 03:38,云桓,20-11-11 03:38
"['猫小胖区', '猫小胖区']",猫区零式求d1求固定队,0,60952207,2345678asdasd,20-11-11 03:00,2345678asdasd,20-11-11 03:00
"['美区', '国际服', 'Primal']",5.4零式次周E9-12S固定队6=2招募,30,62281203,猫子的屠戮,20-10-15 05:49,猫子的屠戮,20-11-11 02:53
"['固定队招募', '日区', 'Elemental']", ,3,42777242,kkln6050,20-11-07 22:02,yuuseiku,20-11-11 02:45
"['日区', 'Elemental']", ,5,37640137,mpm951212,20-10-19 20:56,yuuseiku,20-11-11 02:37
"['日区', 'MANA']", ,3,533298,咒,20-11-08 21:40,咒,20-11-11 02:03
"['美区', '美服']", ,1,60376772,akihacker,20-11-08 08:03,aruhi0,20-11-11 01:50
['莫古力区'], 终于打折了 猪区想收两个黄金方案,4,6851677,eesawm,20-11-09 22:50,eesawm,20-11-11 01:44
"['美区', '国际服', 'Primal', '固定队招募']",5.4首周招募1治疗,1,60383794,aruhi0,20-11-07 13:30,aruhi0,20-11-11 01:39
"['猫小胖区', '柔风海湾', '部队招募']",《喵喵不再流浪》咸鱼部队长期招人！内附有爱长图.jpg,2,808909,ce.frost,20-11-10 15:10,ce.frost,20-11-11 01:20
['日区'], MANA再生篇E9S~E12S首周队招募D1D2,15,42382696,kibahara,20-10-27 11:43,kibahara,20-11-11 01:15
['陆行鸟区'], 龙骑武士诗人求职绝巴哈开荒,3,62282878,ug_lin,20-11-09 22:29,iKoly,20-11-11 01:11
['莫古力区'], 求职夜间11点半之后的零式开荒队,1,60429675,粒爱作死的汤,20-11-10 09:26,粒爱作死的汤,20-11-11 00:56
['莫古力区'], 白魔求职绝亚下午队,7,43230135,迟月,20-11-06 00:36,迟月,20-11-11 00:44
"['日区', 'MANA']", ,9,42814410,KuMiao,20-11-06 20:17,KuMiao,20-11-11 00:29
['猫小胖区'],   绝亚2%渡劫7=1 招个ST,0,62091261,ilemike,20-11-11 00:26,ilemike,20-11-11 00:26
['猫小胖区'],已找到,0,61226345,可燃冰,20-11-11 00:13,可燃冰,20-11-11 00:13
['猫小胖区'], ST求职绝亚P4二测,1,60203236,石迁宿,20-11-10 00:20,石迁宿,20-11-11 00:12
['陆行鸟区'],绝神兵泰坦三连桶招募近战d1,14,62428755,井木乃,20-10-31 17:59,井木乃,20-11-11 00:10
['莫古力区'], 神兵晚间队招一个法师，进度TT   晚上8-11  可加班   内置陪练,2,62585495,是小章12138,20-11-10 19:31,赐不记,20-11-11 00:08
['陆行鸟区'],黑魔求职8s开荒队 进度p3背对镜,3,41824081,trial丶Wing,20-11-10 13:35,trial丶Wing,20-11-11 00:06
['陆行鸟区'], 已招到，谢谢,1,42610190,hemey,20-11-10 23:24,hemey,20-11-11 00:03
['猫小胖区'],  绝亚2%渡劫 7=1 等个ST,0,60520824,hang844095241,20-11-11 00:01,hang844095241,20-11-11 00:01
"['猫小胖区/陆行鸟区', '绝亚']",d2龙骑寻一复健刷低保/一运到p4进度固定队,8,61101057,鸟择木,20-10-26 01:59,鸟择木,20-11-10 23:55
['陆行鸟区'],零式晚间休闲固定队招募1ST 进度8sp1,2,62381858,分牧野,20-10-30 10:10,mz12345600,20-11-10 23:53
"['日区', 'MANA']",T求职5.4零式休闲队伍,0,60658762,zkansz,20-11-10 23:50,zkansz,20-11-10 23:50
"['陆行鸟区', '帮挂绝巴哈']", ,0,61340273,usag,20-11-10 23:47,usag,20-11-10 23:47
['莫古力区'],绝亚招h1 要求logs蓝紫或者一绝,0,60890106,是鱼丸面,20-11-10 23:44,是鱼丸面,20-11-10 23:44
